Series Name	"Series Code"	"Country Name"	"Country Code"	"2016 [YR2016]"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Senegal"	"SEN"	"0.727113125076366"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Serbia"	"SRB"	"6.40682643835178"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Seychelles"	"SYC"	"6.39072847682119"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Sierra Leone"	"SLE"	"0.149104946786926"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Singapore"	"SGP"	"6.69404629657536"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Sint Maarten (Dutch part)"	"SXM"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Slovak Republic"	"SVK"	"5.97032222520521"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Slovenia"	"SVN"	"6.11746153347002"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Solomon Islands"	"SLB"	"0.272315021543757"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Somalia"	"SOM"	"0.0454962362218679"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"South Africa"	"ZAF"	"8.48065846394969"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"South Sudan"	"SSD"	"0.159441965076983"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Spain"	"ESP"	"5.24915787264891"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Sri Lanka"	"LKA"	"1.10184676696694"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"St. Kitts and Nevis"	"KNA"	"4.61668829533789"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"St. Lucia"	"LCA"	"2.3017542105497"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"St. Martin (French part)"	"MAF"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"St. Vincent and the Grenadines"	"VCT"	"2.01006769658045"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Sudan"	"SDN"	"0.501909733724425"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Suriname"	"SUR"	"3.07702302954771"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Sweden"	"SWE"	"4.35875183977563"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Switzerland"	"CHE"	"4.11748982305503"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Syrian Arab Republic"	"SYR"	"1.65177407292672"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Tajikistan"	"TJK"	"0.612889430569052"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Tanzania"	"TZA"	"0.22568476360107"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Thailand"	"THA"	"4.11422335752807"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Timor-Leste"	"TLS"	"0.406011541161727"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Togo"	"TGO"	"0.399417466316696"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Tonga"	"TON"	"1.26907142080231"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Trinidad and Tobago"	"TTO"	"31.8448514914734"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Tunisia"	"TUN"	"2.6484015404886"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Turkey"	"TUR"	"4.66946668553538"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Turkmenistan"	"TKM"	"12.4735865110946"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Turks and Caicos Islands"	"TCA"	"5.9179135096693"
